Model,Scaler,Best Params,Accuracy,Precision,Recall,F1 Score
Random Forest,None,"{'n_estimators': 50, 'max_depth': 20}",0.9378818737270875,0.9087287226752141,0.9378818737270875,0.92044125392639
Random Forest,StandardScaler,"{'n_estimators': 100, 'max_depth': None}",0.9348268839103869,0.9033307567936052,0.9348268839103869,0.917269854653558
Random Forest,MinMaxScaler,"{'n_estimators': 50, 'max_depth': 20}",0.9378818737270875,0.9087287226752141,0.9378818737270875,0.92044125392639
KNN,None,{'n_neighbors': 3},0.890020366598778,0.9038397942655724,0.890020366598778,0.8967544927072525
KNN,StandardScaler,{'n_neighbors': 3},0.8859470468431772,0.9078113701847234,0.8859470468431772,0.8963702069297103
KNN,MinMaxScaler,{'n_neighbors': 3},0.8890020366598778,0.9067498215891766,0.8890020366598778,0.897544586914152
Logistic Regression,None,{'C': 10},0.7342158859470469,0.9445941711311924,0.7342158859470469,0.80682754712139
Logistic Regression,StandardScaler,{'C': 1},0.7362525458248472,0.9446781039838806,0.7362525458248472,0.8082707414296602
Logistic Regression,MinMaxScaler,{'C': 1},0.7362525458248472,0.9446781039838806,0.7362525458248472,0.8082707414296602
Decision Tree,None,{'max_depth': 20},0.9185336048879837,0.9052697154530148,0.9185336048879837,0.9116399229774022
Decision Tree,StandardScaler,{'max_depth': 20},0.9185336048879837,0.9052697154530148,0.9185336048879837,0.9116399229774022
Decision Tree,MinMaxScaler,{'max_depth': 20},0.9185336048879837,0.9052697154530148,0.9185336048879837,0.9116399229774022
